phoneme,prev_lexeme,lexeme,freq_unweighted,prob_unweighted,freq_weighted,prob_weighted
ee,ο,οι,131,0.0933048433048433,6020,0.06453203554621759
ee,ο,υι,0,0.0,0,0.0
ee,λ,ι,7194,0.4180370736242664,823872,0.4106258980722006
ee,λ,η,5375,0.31233656807484456,618670,0.30835120547891953
ee,λ,υ,2570,0.14934046138648382,257956,0.128567804419998
ee,λ,ει,1658,0.09634493578941251,240472,0.11985360706665384
ee,λ,οι,410,0.023824742867104422,65401,0.032596500863993426
ee,λ,υι,2,0.00011621825788831425,10,4.984098234582564e-06
ee,φ,ι,2730,0.47702254062554605,166544,0.4645319647439473
ee,φ,η,1084,0.18941114799930106,73750,0.2057067946000223
ee,φ,υ,1436,0.2509173510396645,71078,0.1982539328349883
ee,φ,ει,329,0.05748733181897606,32711,0.09123898248354345
ee,φ,οι,136,0.023763760265594968,14383,0.0401177061251813
ee,φ,υι,8,0.001397868250917351,54,0.00015061921231730447
ee,θ,ι,929,0.0941999594402758,36997,0.0547432186887788
ee,θ,η,4597,0.46613263029811397,244027,0.3610785584497831
ee,θ,υ,1251,0.12685053741634558,133442,0.19744964695159123
ee,θ,ει,3059,0.31018049077266274,260800,0.3858970033795581
ee,θ,οι,25,0.0025349827621172177,561,0.0008300928638647703
ee,θ,υι,1,0.00010139931048468871,1,1.4796664240013732e-06
ee,ε,ι,0,0.0,0,0.0
ee,ε,η,94,0.5402298850574713,1171,0.1327363409657674
ee,ε,υ,0,0.0,0,0.0
ee,ε,ει,54,0.3103448275862069,5113,0.5795737927907504
ee,ε,οι,26,0.14942528735632185,2538,0.2876898662434822
ee,ε,υι,0,0.0,0,0.0
ee,ξ,ι,1627,0.5037151702786378,104768,0.24149607333765147
ee,ξ,η,711,0.22012383900928792,204178,0.4706416583492574
ee,ξ,υ,417,0.12910216718266254,62001,0.14291575713011348
ee,ξ,ει,384,0.11888544891640866,59376,0.1368649859737362
ee,ξ,οι,91,0.028173374613003097,3506,0.008081525209241429
ee,ξ,υι,0,0.0,0,0.0
ee,οι,ι,44,0.014478446857518921,174,0.001262433885466774
ee,οι,η,2691,0.8854886475814413,112911,0.8192107611605686
ee,οι,υ,8,0.0026324448831852583,8,5.8042937262840186e-05
ee,οι,ει,265,0.08719973675551168,10512,0.076268419563372
ee,οι,οι,31,0.010200723922342876,14224,0.10320034245332985
ee,οι,υι,0,0.0,0,0.0
ee,υ,ι,0,0.0,0,0.0
ee,υ,η,124,0.5821596244131455,19144,0.5482716155454364
ee,υ,υ,10,0.046948356807511735,10,0.00028639344731792534
ee,υ,ει,72,0.3380281690140845,15659,0.44846349915513933
ee,υ,οι,7,0.03286384976525822,104,0.002978491852106424
ee,υ,υι,0,0.0,0,0.0
ee,ζ,ι,572,0.28135759960649287,29105,0.10772727104484904
ee,ζ,η,651,0.32021642892277424,167508,0.620002738985761
ee,ζ,υ,121,0.059517953762911954,2033,0.007524808178463429
ee,ζ,ει,658,0.323659616330546,71146,0.2633349742572352
ee,ζ,οι,31,0.015248401377274963,381,0.0014102075336913755
ee,ζ,υι,0,0.0,0,0.0
ee,ευ,ι,4,0.0136986301369863,4,0.00016344542965717322
ee,ευ,η,76,0.2602739726027397,9221,0.37678257671719856
ee,ευ,υ,11,0.03767123287671233,39,0.001593592939157439
ee,ευ,ει,194,0.6643835616438356,15162,0.619539901115515
ee,ευ,οι,7,0.023972602739726026,47,0.0019204837984717852
ee,ευ,υι,0,0.0,0,0.0
ee,αι,ι,13,0.11206896551724138,16,0.0015650983077374547
ee,αι,η,30,0.25862068965517243,3737,0.3655482735009293
ee,αι,υ,5,0.04310344827586207,11,0.0010760050865695002
ee,αι,ει,7,0.0603448275862069,209,0.020444096644820504
ee,αι,οι,61,0.5258620689655172,6250,0.6113665264599433
ee,αι,υι,0,0.0,0,0.0
ee,ψ,ι,365,0.20940906483075158,6215,0.022133190883190882
ee,ψ,η,737,0.4228341939185313,235444,0.8384757834757834
ee,ψ,υ,347,0.19908204245553643,4332,0.015427350427350427
ee,ψ,ει,293,0.168100975329891,34808,0.12396011396011396
ee,ψ,οι,1,0.0005737234652897303,1,3.561253561253561e-06
ee,ψ,υι,0,0.0,0,0.0
ee,ει,ι,21,0.3620689655172414,32,0.04481792717086835
ee,ει,η,4,0.06896551724137931,8,0.011204481792717087
ee,ει,υ,3,0.05172413793103448,3,0.004201680672268907
ee,ει,ει,13,0.22413793103448276,609,0.8529411764705882
ee,ει,οι,17,0.29310344827586204,62,0.08683473389355742
ee,ει,υι,0,0.0,0,0.0
ee,β,ι,2300,0.6993006993006993,108301,0.599660029678191
ee,β,η,629,0.19124353906962602,37337,0.20673407012026312
ee,β,υ,177,0.053815749467923384,2414,0.013366259883502027
ee,β,ει,143,0.043478260869565216,31814,0.17615335208522515
ee,β,οι,38,0.011553663727576772,736,0.0040752142809683065
ee,β,υι,2,0.0006080875646093037,2,1.1073951850457354e-05
ee,ϊ,ι,8,0.6666666666666666,24,0.8
ee,ϊ,η,1,0.08333333333333333,1,0.03333333333333333
ee,ϊ,υ,1,0.08333333333333333,1,0.03333333333333333
ee,ϊ,ει,0,0.0,0,0.0
ee,ϊ,οι,2,0.16666666666666666,4,0.13333333333333333
ee,ϊ,υι,0,0.0,0,0.0
ee,ω,ι,94,0.5595238095238095,5147,0.22750176803394626
ee,ω,η,40,0.23809523809523808,17175,0.7591495756718529
ee,ω,υ,11,0.06547619047619048,19,0.0008398161244695899
ee,ω,ει,10,0.05952380952380952,82,0.0036244695898161243
ee,ω,οι,13,0.07738095238095238,201,0.008884370579915134
ee,ω,υι,0,0.0,0,0.0
ee,α,ι,0,0.0,0,0.0
ee,α,η,140,0.4682274247491639,6171,0.4364214992927864
ee,α,υ,0,0.0,0,0.0
ee,α,ει,147,0.4916387959866221,6856,0.4848656294200849
ee,α,οι,12,0.04013377926421405,1113,0.07871287128712871
ee,α,υι,0,0.0,0,0.0
